id,Age,Gender,Org
2440684753,>=40,male,non-org
30435298,19-29,male,is-org
1.37738E+18,>=40,male,is-org
7.84395E+17,<=18,male,non-org
1.39258E+18,<=18,male,non-org
1153705152,>=40,male,is-org
8.106E+17,<=18,male,non-org
16754301,>=40,male,non-org
587140895,>=40,male,non-org
587140895,>=40,male,non-org
1379366754,19-29,male,non-org
39058378,19-29,male,non-org
7.47533E+17,>=40,male,non-org
1.00011E+18,30-39,male,non-org
551329382,>=40,male,non-org
2575564358,19-29,male,non-org
1.22003E+18,<=18,female,non-org
554916153,19-29,male,non-org
724540597,>=40,male,non-org
1.35508E+18,<=18,male,non-org
388859394,30-39,male,non-org
1.00945E+18,<=18,female,non-org
2955221976,>=40,male,is-org
410170991,19-29,male,non-org
1730878622,<=18,male,non-org
1.23916E+18,<=18,female,non-org
1.31995E+18,19-29,female,non-org
101049691,30-39,female,non-org
1.40344E+18,>=40,male,is-org
1.39872E+18,>=40,male,is-org
3261957005,<=18,male,non-org
4913189221,19-29,male,non-org
9.25E+17,19-29,male,non-org
154108592,19-29,male,non-org
154108592,19-29,male,non-org
1297206554,>=40,male,non-org
545276552,19-29,male,non-org
8.28131E+17,>=40,male,non-org
1921148970,19-29,male,non-org
8.95615E+17,30-39,male,non-org
1.23314E+18,>=40,male,non-org
8.65764E+17,30-39,male,non-org
1.36203E+18,>=40,male,non-org
2905192907,30-39,female,non-org
9.38494E+17,>=40,male,non-org
9.38494E+17,>=40,male,non-org
18845980,19-29,male,non-org
2565725311,>=40,male,non-org
1.2221E+18,19-29,female,is-org
9.89929E+17,>=40,male,non-org
1.19972E+18,<=18,male,non-org
4826542933,30-39,male,non-org
1.35622E+18,30-39,male,non-org
7.87486E+17,<=18,male,non-org
1.43846E+18,19-29,female,non-org
8.72515E+17,>=40,male,non-org
738786882,<=18,female,non-org
7.22664E+17,<=18,male,non-org
1.33974E+18,19-29,male,non-org
7.71507E+17,30-39,male,non-org
134526038,<=18,female,non-org
9.37724E+17,>=40,female,non-org
1.3225E+18,19-29,female,non-org
364814424,<=18,male,non-org
364814424,<=18,male,non-org
2862542937,19-29,male,non-org
1.37579E+18,30-39,female,is-org
9.79985E+17,<=18,male,non-org
8.33958E+17,>=40,male,non-org
14860198,<=18,male,non-org
3090866032,>=40,male,non-org
9.3143E+17,19-29,male,non-org
1.3092E+18,19-29,male,non-org
3332391364,>=40,male,is-org
44825992,19-29,male,non-org
964552279,30-39,male,is-org
964552279,30-39,male,is-org
411099838,19-29,male,is-org
9.64337E+17,>=40,female,non-org
182429547,30-39,male,non-org
1.39804E+18,>=40,male,non-org
1.44E+18,30-39,female,non-org
8.92383E+17,<=18,male,non-org
244475326,19-29,male,non-org
1.21643E+18,<=18,male,non-org
1.21643E+18,<=18,male,non-org
1.17385E+18,<=18,male,non-org
374737491,>=40,male,non-org
1.42765E+18,30-39,male,non-org
1.04503E+18,>=40,male,non-org
9.3143E+17,19-29,male,non-org
579827183,<=18,male,non-org
2502612073,30-39,male,non-org
73002253,19-29,male,non-org
1.44346E+18,<=18,female,non-org
1.17671E+18,19-29,male,non-org
1.38507E+18,>=40,male,is-org
1.21593E+18,<=18,female,non-org
1.21593E+18,<=18,female,non-org
1.41632E+18,>=40,female,is-org
1.02253E+18,>=40,male,is-org
1.33011E+18,19-29,male,non-org
18238982,>=40,male,non-org
1.06811E+18,30-39,male,is-org
207692766,<=18,male,is-org
1.10259E+18,19-29,male,non-org
427763016,<=18,male,non-org
9.24639E+17,>=40,male,non-org
2671268820,19-29,male,non-org
527941286,30-39,male,non-org
41621024,>=40,male,is-org
231889799,>=40,male,non-org
7.6516E+17,19-29,female,non-org
1.15997E+18,<=18,male,non-org
1.44215E+18,19-29,male,non-org
1297206554,>=40,male,non-org
1.26943E+18,<=18,male,non-org
1350188772,>=40,male,non-org
17104899,19-29,female,non-org
36771147,19-29,male,is-org
36771147,19-29,male,is-org
36771147,19-29,male,is-org
1.40671E+18,<=18,male,non-org
464436419,19-29,male,non-org
231858478,<=18,male,non-org
453432893,19-29,male,non-org
123074554,30-39,male,non-org
1.37588E+18,>=40,female,is-org
1849282573,>=40,male,non-org
1310818094,<=18,male,non-org
22960063,>=40,male,is-org
2384207972,19-29,female,non-org
311264203,<=18,male,non-org
189834671,>=40,female,non-org
1.1275E+18,<=18,female,non-org
928698288,19-29,female,non-org
1.39804E+18,>=40,male,non-org
1.39804E+18,>=40,male,non-org
1.39804E+18,>=40,male,non-org
1.43176E+18,>=40,male,non-org
1.43176E+18,>=40,male,non-org
1.40646E+18,>=40,male,is-org
9.98476E+17,>=40,male,is-org
1.31089E+18,<=18,female,non-org
8.08134E+17,>=40,male,non-org
287827839,<=18,male,non-org
290669218,19-29,male,non-org
1.01778E+18,>=40,male,non-org
350416970,19-29,female,non-org
1.42582E+18,30-39,male,non-org
269744585,>=40,male,non-org
2161288434,19-29,female,non-org
415619212,<=18,male,non-org
1.3849E+18,19-29,male,non-org
1.3849E+18,19-29,male,non-org
2240771406,19-29,male,non-org
1.24431E+18,19-29,male,non-org
1.12374E+18,>=40,male,is-org
3077500662,19-29,male,non-org
956756072,<=18,male,non-org
483713103,19-29,female,non-org
1.37E+18,<=18,male,non-org
434492590,<=18,male,non-org
1.00035E+18,<=18,male,non-org
1.3844E+18,>=40,male,non-org
1.27807E+18,30-39,male,non-org
1.02934E+18,<=18,male,non-org
2906724325,>=40,male,non-org
1.40062E+18,>=40,female,non-org
1.37198E+18,>=40,male,non-org
1.15837E+18,>=40,male,non-org
3233633736,<=18,male,non-org
4405588274,19-29,female,non-org
4405588274,19-29,female,non-org
1486759663,<=18,female,non-org
1.30227E+18,30-39,male,is-org
1405742846,19-29,male,non-org
76755857,19-29,male,non-org
3371384723,<=18,female,non-org
16331756,>=40,male,is-org
412779742,>=40,male,is-org
1.2585E+18,>=40,male,non-org
1.16852E+18,30-39,male,non-org
1.31237E+18,>=40,male,non-org
61422393,<=18,male,non-org
1.38634E+18,30-39,male,non-org
7.54809E+17,<=18,female,non-org
7.54809E+17,<=18,female,non-org
1.33785E+18,<=18,male,non-org
771205489,19-29,male,non-org
54882965,>=40,male,non-org
1.34795E+18,>=40,male,non-org
1.37797E+18,19-29,male,non-org
302206097,<=18,female,is-org
1.40344E+18,>=40,male,is-org
1.40344E+18,>=40,male,is-org
218361914,19-29,male,non-org
1.29493E+18,>=40,male,non-org
1.38998E+18,30-39,female,non-org
1.42372E+18,<=18,male,non-org
2892048731,<=18,male,non-org
8.91493E+17,30-39,male,non-org
1.35188E+18,<=18,male,non-org
1.12985E+18,30-39,female,non-org
375929367,19-29,male,non-org
8.17142E+17,>=40,female,non-org
1.23964E+18,>=40,male,non-org
101857665,19-29,female,non-org
1.01467E+18,19-29,male,non-org
9.45368E+17,19-29,male,non-org
1.35672E+18,<=18,male,non-org
218767601,>=40,male,is-org
462600697,19-29,male,non-org
1876626193,19-29,female,non-org
55841183,>=40,male,non-org
364485238,19-29,male,non-org
180912941,>=40,male,non-org
1.1519E+18,19-29,female,non-org
1.38995E+18,30-39,male,non-org
1.38995E+18,30-39,male,non-org
127312993,19-29,female,non-org
1.29248E+18,<=18,male,non-org
404037462,>=40,male,non-org
404037462,>=40,male,non-org
1.09515E+18,<=18,female,non-org
246018931,>=40,male,non-org
18450249,>=40,male,non-org
3311604070,<=18,female,non-org
1.3039E+18,19-29,female,non-org
2682046003,19-29,male,non-org
1.01178E+18,19-29,male,non-org
1.01178E+18,19-29,male,non-org
34655603,19-29,male,is-org
3005952009,30-39,female,non-org
154108592,19-29,male,non-org
1.40887E+18,<=18,male,non-org
1.10216E+18,19-29,male,non-org
1.31217E+18,30-39,female,non-org
1.41258E+18,19-29,female,non-org
437190845,30-39,male,non-org
1.28438E+18,>=40,male,is-org
9.92886E+17,<=18,female,non-org
1.3751E+18,19-29,male,non-org
9.53206E+17,19-29,male,non-org
8.35022E+17,>=40,male,is-org
140928235,>=40,male,non-org
526840612,30-39,male,non-org
9.11955E+17,>=40,male,is-org
229644643,>=40,male,non-org
449173094,>=40,male,non-org
1.31471E+18,19-29,male,non-org
1.35793E+18,>=40,male,is-org
1.38317E+18,30-39,male,is-org
127323519,30-39,male,non-org
201871438,<=18,male,non-org
1.3092E+18,19-29,male,non-org
1.3092E+18,19-29,male,non-org
1.3092E+18,19-29,male,non-org
255604344,<=18,male,non-org
1.38707E+18,<=18,female,non-org
232517293,30-39,male,non-org
1313744454,<=18,female,non-org
259930112,<=18,male,non-org
217174801,>=40,male,non-org
2876428161,19-29,female,is-org
7.90862E+17,<=18,male,non-org
1.25311E+18,>=40,male,non-org
1.34656E+18,<=18,male,non-org
1.03316E+18,19-29,male,non-org
3129809648,19-29,female,non-org
3415760632,<=18,female,non-org
1368895981,>=40,male,is-org
1388224716,<=18,male,non-org
169899481,<=18,male,non-org
155045917,30-39,male,non-org
1.42337E+18,19-29,female,non-org
1.26956E+18,<=18,male,is-org
19286530,>=40,male,non-org
9.72526E+17,30-39,male,is-org
9.72526E+17,30-39,male,is-org
410152910,19-29,male,non-org
1.37145E+18,<=18,male,non-org
1.37568E+18,>=40,male,is-org
1.37568E+18,>=40,male,is-org
1.34511E+18,<=18,male,non-org
21049522,>=40,male,non-org
3037173093,<=18,male,non-org
1.07864E+18,19-29,female,non-org
1.39751E+18,>=40,male,non-org
1.33502E+18,>=40,male,non-org
330406517,>=40,male,non-org
8.44599E+17,<=18,female,non-org
867513726,>=40,male,is-org
1.08125E+18,19-29,male,non-org
1.24965E+18,>=40,male,non-org
2154432592,19-29,female,non-org
482206638,19-29,female,is-org
508798903,<=18,male,non-org
1.2791E+18,19-29,male,non-org
8.62176E+17,<=18,male,non-org
1.06065E+18,>=40,female,non-org
1.4296E+18,>=40,male,is-org
1.17177E+18,<=18,male,is-org
7.09615E+17,<=18,male,non-org
1.15529E+18,>=40,male,is-org
2233034072,<=18,male,non-org
496401070,30-39,male,non-org
1136383710,>=40,male,non-org
1265089662,>=40,female,non-org
19443658,>=40,male,non-org
7.51613E+17,>=40,male,non-org
1.25333E+18,19-29,female,non-org
1.00004E+18,19-29,female,non-org
2485204604,19-29,male,non-org
204680507,<=18,female,non-org
7.68217E+17,>=40,male,is-org
15391326,>=40,male,non-org
1.41522E+18,19-29,female,non-org
20781231,>=40,male,non-org
1.40514E+18,>=40,male,non-org
1.407E+18,>=40,female,is-org
1.33863E+18,>=40,male,is-org
1.3937E+18,>=40,male,is-org
1.43065E+18,>=40,male,non-org
1.0464E+18,30-39,male,non-org
1.37406E+18,19-29,male,is-org
1.28535E+18,30-39,male,non-org
1.28535E+18,30-39,male,non-org
1494065682,19-29,male,non-org
51101321,>=40,male,non-org
51101321,>=40,male,non-org
8.3919E+17,19-29,male,non-org
16084691,>=40,male,non-org
243106761,30-39,male,non-org
1909089090,30-39,male,non-org
1943860950,30-39,female,non-org
1.26914E+18,<=18,female,non-org
1.08331E+18,<=18,female,non-org
1.12025E+18,19-29,male,non-org
585159057,<=18,male,non-org
1.2094E+18,19-29,male,non-org
102645136,>=40,male,is-org
2470991885,<=18,male,non-org
4201774293,19-29,female,non-org
1.16483E+18,19-29,female,non-org
1.16483E+18,19-29,female,non-org
8.36801E+17,19-29,male,non-org
186992514,30-39,male,non-org
1.43377E+18,>=40,male,is-org
3130089888,>=40,male,non-org
452432585,19-29,female,non-org
234339659,19-29,male,non-org
3299930620,>=40,male,non-org
40236634,<=18,male,non-org
855634050,19-29,male,non-org
1.27029E+18,<=18,male,is-org
734950326,30-39,male,non-org
1537253418,30-39,male,non-org
1.34459E+18,19-29,male,non-org
1.43873E+18,>=40,male,non-org
16754301,>=40,male,non-org
9.5727E+17,19-29,male,is-org
1.32847E+18,19-29,female,is-org
1.01749E+18,<=18,male,non-org
20037364,>=40,male,non-org
1.32702E+18,19-29,male,non-org
9.64416E+17,>=40,male,non-org
9426522,>=40,male,non-org
225830907,<=18,male,non-org
7.65026E+17,30-39,male,non-org
1.10052E+18,>=40,male,is-org
1689516060,<=18,male,non-org
346382203,>=40,male,non-org
160510810,19-29,female,non-org
1.2796E+18,<=18,male,non-org
3236725185,30-39,male,non-org
5104571,>=40,male,is-org
1.31251E+18,<=18,male,non-org
350181437,19-29,female,non-org
1.27243E+18,<=18,male,non-org
2233034072,<=18,male,non-org
3097273654,30-39,male,is-org
3097273654,30-39,male,is-org
271650293,30-39,male,non-org
48959540,>=40,male,is-org
1.17565E+18,19-29,male,non-org
1.40663E+18,30-39,male,non-org
3128797938,30-39,male,non-org
1.20764E+18,>=40,male,non-org
1.44249E+18,19-29,female,non-org
8.04323E+17,>=40,male,non-org
154108592,19-29,male,non-org
1.19355E+18,19-29,male,non-org
1978689720,>=40,male,non-org
1.01235E+18,<=18,female,non-org
1.01235E+18,<=18,female,non-org
1.01235E+18,<=18,female,non-org
2656519116,19-29,male,non-org
3022102047,<=18,female,non-org
7.19703E+17,>=40,male,non-org
2322439590,30-39,male,is-org
1.35371E+18,<=18,female,non-org
2889786275,<=18,male,non-org
1.16338E+18,<=18,male,non-org
36771147,19-29,male,is-org
36771147,19-29,male,is-org
36771147,19-29,male,is-org
99822746,19-29,male,non-org
7.84369E+17,>=40,male,non-org
1.04786E+18,<=18,male,non-org
1.39214E+18,30-39,male,non-org
1.18288E+18,<=18,female,non-org
1.22858E+18,<=18,male,non-org
1352597900,>=40,male,non-org
1.02575E+18,19-29,male,non-org
9.49915E+17,<=18,male,is-org
1.29674E+18,<=18,female,non-org
61601980,30-39,male,non-org
1.31971E+18,30-39,male,non-org
4894890381,19-29,male,non-org
1.15658E+18,<=18,female,non-org
47396682,>=40,male,non-org
1.35371E+18,19-29,female,non-org
7.17712E+17,19-29,female,non-org
1.20707E+18,<=18,male,non-org
7.54029E+17,<=18,male,is-org
357736804,30-39,male,non-org
9.74817E+17,19-29,male,non-org
1.35141E+18,30-39,female,non-org
1.30757E+18,>=40,female,non-org
1973284044,>=40,male,non-org
7.78632E+17,19-29,female,non-org
413788314,19-29,male,non-org
3232816575,19-29,male,non-org
1.3684E+18,>=40,female,non-org
1.14459E+18,>=40,male,non-org
1.23235E+18,19-29,female,non-org
1.26349E+18,<=18,male,is-org
8.01917E+17,>=40,female,non-org
227604747,19-29,male,non-org
329786162,30-39,male,non-org
18444681,>=40,male,non-org
3312668113,19-29,male,non-org
4631892201,<=18,male,non-org
271141950,<=18,male,non-org
628116829,19-29,male,non-org
795967831,30-39,male,non-org
1.33861E+18,>=40,male,non-org
1.38565E+18,>=40,female,is-org
1.38565E+18,>=40,female,is-org
1.38565E+18,>=40,female,is-org
1.33073E+18,<=18,male,non-org
1.39804E+18,>=40,male,non-org
1.39804E+18,>=40,male,non-org
1.40529E+18,>=40,male,is-org
1.18007E+18,19-29,female,non-org
9.41953E+17,19-29,male,non-org
2555380863,30-39,male,non-org
1.36407E+18,19-29,female,non-org
7.39222E+17,<=18,male,is-org
7.40494E+17,19-29,male,non-org
1.1705E+18,19-29,male,non-org
8.8565E+17,19-29,female,non-org
2896391027,19-29,male,non-org
1869820255,30-39,male,non-org
87251327,19-29,male,non-org
1.37704E+18,19-29,male,non-org
179634643,30-39,male,non-org
1.1617E+18,>=40,male,non-org
1.1617E+18,>=40,male,non-org
1.44172E+18,30-39,male,non-org
1.38825E+18,<=18,male,is-org
509496850,19-29,male,non-org
390961164,19-29,male,non-org
19977449,>=40,male,is-org
133382453,>=40,male,non-org
1.28083E+18,<=18,female,non-org
2441614616,19-29,female,non-org
3057052419,<=18,male,non-org
3392845084,19-29,male,non-org
1.2772E+18,19-29,male,non-org
1.13487E+18,<=18,female,non-org
8.85133E+17,<=18,male,non-org
1.33558E+18,<=18,male,non-org
9.75637E+17,<=18,female,non-org
8.19259E+17,19-29,female,non-org
1.30896E+18,<=18,male,non-org
